"authors.keyword: Descending",Count
"B. Zhang",2101
"Rui Liu",2097
"Ping Yang",2095
"J. Lin",2093
"Lei Zhao",2092
"X. Xu",2092
"A. Smith",2087
"Hiroshi Suzuki",2087
"Xi Zhang",2072
"D. Liu",2069
"Henry F. Schaefer",2068
"J. Park",2065
"Guang Yang",2060
"A. Schmidt",2047
"J.H. Kim",2045
"Li Zhou",2045
"A. Simon",2044
"Jie Sun",2042
"Kai Li",2042
"David J. Williams",2040
"H. Yamada",2040
"Ming Yang",2040
"L. Xu",2039
"Y. Ma",2036
"M. Smith",2034
"M. Klein",2030
"Lei Xu",2029
"Meng Li",2027
"Ying Yang",2024
"S. Sarkar",2019
"Ling Chen",2018
"F. Zhang",2017
"Y. Ito",2015
"Jie Zhou",2009
"Takeshi Endo",2007
"Yuan Gao",2007
"M. Yamaguchi",2006
"Gang Wu",2003
"Zhen Liu",2001
"Zhi Li",1997
"K. Saito",1996
"Peter G. Jones",1996
"Takashi Suzuki",1994
"Ying Huang",1994
"K. Wang",1989
"Zhe Wang",1988
"Dan Liu",1985
"Xiao Zhang",1985
"Cheng Zhang",1983
"Bing Zhang",1982
"G. Wolf",1982
"K. Hashimoto",1978
"T. Shimizu",1977
"Sanjay Kumar",1972
"M. Müller",1969
"M. Singh",1967
"Yang Gao",1967
"K. Hayashi",1966
"Chen Li",1963
"Xiang Zhang",1958
"Min Yang",1957
"John F. Kennedy",1956
"J. Lu",1954
"R. Gupta",1951
"Rakesh Kumar",1949
"X. Zhao",1948
"J. Schmidt",1946
"Wei Shi",1946
"Xin Zhou",1944
"Fang Li",1943
"Kai Liu",1943
"H. Xu",1939
"Yun Liu",1938
"Bo Xu",1936
"Dong Liu",1933
"F. Albert Cotton",1933
"X. Zhou",1933
"Yan Huang",1933
"M. Ito",1932
"Waldemar Adam",1932
"Rong Zhang",1929
"Bin Zhao",1924
"George A. Olah",1924
"Li Sun",1924
"M. Jones",1922
"Michael B. Hursthouse",1922
"Meng Zhang",1920
"Hiroshi Tanaka",1919
"Amit Kumar",1916
"Y. Hu",1916
"J. Anderson",1914
"Jun Zhu",1910
"D. Kim",1908
"T. Itoh",1908
"S. Bhattacharya",1905
"Yun Li",1905
"Bing Liu",1902
"Yan Yang",1902
"Zhi Wang",1901
"Jing Zhou",1900
"Yang Xu",1899
"Qing Yang",1898
"Yan Wu",1896
"Z. Xu",1896
"Qi Chen",1894
"H. Saito",1886
"Liu Yang",1884
"P. Kumar",1884
"R. Schmidt",1884
"S. Thomas",1878
"Ying Wu",1875
"Jun Hu",1872
"Barry M. Trost",1871
"Wen Li",1870
"Tao Xu",1868
"Chao Yang",1867
"Ming Zhao",1866
"Yu. T. Struchkov",1865
"Liang Zhao",1863
"X. Huang",1862
"Q. Chen",1861
"Xiaodong Wang",1861
"Xin Xu",1860
"S. Yang",1858
"T. Fujita",1858
"Yong Huang",1855
"J.A. Stockman",1850
"Xiao Li",1848
"H. Ito",1846
"K. Shimizu",1846
"Hiroshi Yamamoto",1841
"K. Kim",1841
"Erik De Clercq",1839
"T. Kondo",1839
"Ying Zhou",1838
"Q. Liu",1837
"Qiang Chen",1836
"Yong Zhao",1831
"Bin Zhou",1830
"C. Lee",1828
"Herbert C. Brown",1828
"J. Martin",1828
"H. Park",1824
"Qin Wang",1823
"David Smith",1822
"Chen Zhang",1819
"Y. Zheng",1809
"A. Singh",1808
"Fei Gao",1797
"L. Zhou",1797
"S. Kato",1797
"Jian Huang",1792
"K. Yamaguchi",1791
"H. Kato",1790
"Richard C. Cabot",1788
"T. Fujii",1787
"M. Kato",1785
"Rong Wang",1784
"Qiang Xu",1782
"Yu Zhao",1778
"A. Yamamoto",1772
"Bo Jiang",1772
"Lei Jiang",1770
"Li Zhao",1769
"Y. Kato",1768
"M. Yang",1767
"Shuai Wang",1764
"G. Zhang",1762
"Lu Liu",1762
"Lin Xu",1760
"T. Ishikawa",1758
"Thomas Müller",1758
"John C. Huffman",1755
"Marilynn Larkin",1752
"Xiang Wang",1752
"Vijay Kumar",1750
"Wei Zhu",1750
"M. Johnson",1749
"H. Huang",1747
"J. Ma",1743
"P. Thomas",1738
"J.H. Lee",1735
"P. Chen",1735
"T. Hasegawa",1733
"Helmut Schwarz",1730
"Yong Zhou",1730
"B. Singh",1729
"M. Martin",1729
"A. Rossi",1726
"D. Brown",1726
"J. Brown",1725
"G. Smith",1720
"George M. Whitesides",1718
"Hua Yang",1718
"R. Zhang",1717
"Y. Guo",1717
"T. Zhang",1716
"Yong Xu",1716
"Min Wu",1715
"E. Longo",1714
"M. Mori",1714
"V. Raghavan",1711
"D. Lee",1710
"WIL LEPKOWSKI",1710
"J. Han",1706
"K. Abe",1697
"K. Smith",1695
"Dan Zhang",1693
"Lei Guo",1692
"Y. Inoue",1691
"Lili Wang",1686
"R. Williams",1680
"J. Thomas",1679
"STU BORMAN",1679
"Yu Sun",1678
"Wei Yu",1677
"Yi Lu",1677
"A. Ferrari",1676
"Bin Hu",1676
"K. Mori",1674
"J. Gao",1673
"M. Thomas",1673
"H. Wu",1671
"John C. Campbell",1669
"T. Fukuda",1668
"Jing Huang",1667
"Yu Yang",1667
"S. Smith",1665
"Yao Wang",1665
"Tao Wu",1660
"S. Roy",1658
"R. Fischer",1656
"Alison Abbott",1655
"Xiang Gao",1654
"Xue Li",1654
"B. Raveau",1653
"K. Itoh",1653
"A. Meyer",1651
"M. Lee",1647
"G. Thomas",1646
"Lei Zhu",1643
"Jia Wang",1642
"Jun Yu",1642
"Kun Zhang",1640
"H. Müller",1639
"Lei Zhou",1638
"Xi Wang",1638
"Min Xu",1637
"M. Murakami",1636
"Fei Chen",1635
"Donald G. Truhlar",1633
"A. Wagner",1631
"H. Zhu",1631
"Jing Ma",1631
"M. Kim",1628
"Jun Yan",1626
"M. Martinez",1625
"H. Zhou",1624
"G. Liu",1621
"Anthony L. Spek",1620
"Michael McCarthy",1619
"Y. Yamaguchi",1619
"Yi Zhou",1614
"Huan Wang",1612
"W. Wu",1612
"Xin Huang",1612
"Zheng Liu",1610
"Ning Liu",1609
"J. Singh",1608
"Cheng Li",1607
"M. Simon",1606
"Tong Zhang",1605
